"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"9128","2.79296066","5.6204E-4","0.35804299","0.42435897","40","6","false","C5AR1","65.475","40","0","0","0.80078215","false","0","C5AR1","32702","0.13555901"
"9133","3.40855763","0.0","0.29337923","1.0","2","6","false","AVPR1B","57.5","2","0","0","0.73238249","false","0","AVPR1B","0","0.61170213"
"9135","3.05383023","2.4109E-4","0.32745763","0.08888889","10","6","false","NTSR1","39.2","10","0","0","0.77179664","false","0","NTSR1","7348","0.14923077"
"9137","2.89855072","4.1535E-4","0.345","0.32967033","14","6","false","PTAFR","59.28571429","14","0","0","0.78904992","false","0","PTAFR","14228","0.14858575"
"9142","3.41269841","8.104E-5","0.29302326","0.0","4","6","false","NFKBIL1","26.5","4","0","0","0.7319224","false","0","NFKBIL1","1808","0.25247525"
"9145","3.0952381","7.0532E-4","0.32307692","0.34285714","15","6","false","DRD3","36.73333333","15","0","0","0.76719577","false","0","DRD3","25226","0.1464"
"9147","3.24913734","7.86E-6","0.307774","0.3","5","6","false","HCAR2","53.4","5","0","0","0.75009585","false","0","HCAR2","556","0.31597633"
"9160","2.83988958","8.4663E-4","0.35212637","0.29230769","26","6","false","EPN1","36.92307692","26","0","0","0.79556782","false","0","EPN1","29248","0.08518387"
"9165","3.37405107","1.065E-5","0.29637963","0.33333333","4","6","false","GPR35","33.5","4","0","0","0.73621655","false","0","GPR35","422","0.31367925"
"9169","3.16563147","3.256E-5","0.31589274","0.47619048","7","6","false","GRK6","53.57142857","7","0","0","0.75937428","false","0","GRK6","1384","0.2457405"
"9171","3.13940649","9.105E-5","0.31853155","0.42857143","8","6","false","C5AR2","44.75","8","0","0","0.76228817","false","0","C5AR2","4244","0.18568465"
"9173","2.71359558","0.00230812","0.36851475","0.28817204","31","6","false","MAP2K4","59.4516129","31","0","0","0.80960049","false","0","MAP2K4","79780","0.1054833"
"9177","3.5431332","9.9331E-4","0.28223607","0.0","6","7","false","HECW2","12.0","6","0","0","0.71742964","false","0","HECW2","19036","0.18333333"
