	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
BEND7	-0.530173708719871	0.628592824874077	-1.60530230285524	0.139274062008537	0.862619525140786	-4.55400248070377	Stable
CGAS	-0.171792338570442	3.39076041278757	-1.22305029202215	0.249141297115504	0.877509528594516	-4.55400780551172	Stable
SLC51A	-0.305385473805194	1.5474214133249	-1.3530048412255	0.205627239470676	0.872378834614433	-4.55405031287295	Stable
PIP4P1	-0.105553826823674	5.47856254896141	-1.25018755461186	0.239482615812025	0.875719777324291	-4.55407635716396	Stable
TRAV41	0.784402909248624	-0.665875623018007	2.03187578320375	0.0693704845536067	0.854474666675172	-4.55410313446212	Stable
ZNF35	-0.323831715313418	1.70315850854683	-1.31103099312259	0.218934661877895	0.872378834614433	-4.55421376545099	Stable
TMA16	0.298673541566241	2.27727375128536	1.26006103748899	0.236044844681996	0.875357662324813	-4.55431374680917	Stable
TARS3	0.192091423711018	3.55474583199643	1.22255810940267	0.249319338370239	0.877509528594516	-4.55433223504098	Stable
CADM1	0.348836016398286	1.13605785983771	1.37108872532378	0.200106206743364	0.872378834614433	-4.55443035729055	Stable
TET1	0.402325765598909	0.605433695624872	1.48508841051962	0.168115539227257	0.872378834614433	-4.55450986161761	Stable
MID1IP1	-0.219976118231133	6.75086403054986	-1.24416549625126	0.24159931707012	0.875881852708901	-4.55462263753222	Stable
CPEB2	-0.176427665521644	4.54846595529613	-1.23282435959971	0.245626846156085	0.875913265932986	-4.55462871088167	Stable
SIGLEC22P	-0.43613808625641	0.607253679327607	-1.55139406289337	0.151620499488279	0.872378834614433	-4.55467164409122	Stable
GPX7	0.221564824130163	2.6872907066923	1.23056243081288	0.246436580496953	0.875913265932986	-4.55469145961052	Stable
SLC2A9	-0.223279278877187	2.28811428600055	-1.26979540309975	0.232695039148557	0.875122405814658	-4.55480686900151	Stable
ACAA1	-0.156778243928393	6.54983071551772	-1.24639852339417	0.2408126611526	0.875719777324291	-4.55488250830252	Stable
AMACR	-0.180669359245004	2.97079332899136	-1.2245980948403	0.24858206593472	0.877509528594516	-4.55488470489635	Stable
SKOR1	1.23006638684226	-1.00940431653295	2.24804854373439	0.0481452898763435	0.854474666675172	-4.55489434351664	Stable
CARD14	-0.367702335527949	0.761190308998136	-1.52111167668354	0.158969848737509	0.872378834614433	-4.55492861822089	Stable
PARP11-AS1	-0.47176556435016	0.527662327105502	-1.52343012740335	0.15839636672931	0.872378834614433	-4.55493587543293	Stable
CYB561D2	-0.114637653740245	3.78323439089167	-1.22150855471925	0.249699345039306	0.877509528594516	-4.55506870322565	Stable
FAM209A	-1.0272772742328	-0.562198043632744	-2.18388731112564	0.0536890727264283	0.854474666675172	-4.55508930014285	Stable
PITPNM3	0.920437564259431	-0.592534558032339	2.01441495986429	0.0714279232949075	0.854474666675172	-4.55513971543659	Stable
