"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","change_type"
"SLC29A2",0.129923599937599,2.15934208893131,0.806310686197914,0.44093431778145,0.930006841594511,-4.83496117795464,"Stable","stable_up"
"SLFN12L",0.201601937086889,6.39043354808098,0.869960798174539,0.407019000420406,0.926132024262009,-5.16231318062416,"Stable","stable_up"
"SPDL1",0.29071042474402,2.11177074594681,2.3040988100849,0.0468022375132494,0.825819064074335,-3.82314804219338,"Stable","stable_up"
"LINC02175",0.227493909167798,0.452995419886138,1.17071048255302,0.271902438254273,0.901887330385515,-4.57081508467983,"Stable","stable_up"
"OSBPL3",0.277592120962562,4.92539295595888,2.28209070330904,0.0485151982277533,0.825819064074335,-3.66947782039439,"Stable","stable_up"
"LINC02446",0.360505155255757,2.80423382087239,3.47634299787272,0.00702378335558122,0.825819064074335,-2.68668078160075,"Stable","stable_up"
"ENPP4",0.31177466418016,4.15886668773399,1.55824118133795,0.15374721805725,0.864522805573267,-4.48351723005652,"Stable","stable_up"
"MAF",0.301171945921568,5.44665203730787,2.18682440628096,0.0566666481248724,0.825819064074335,-3.78945328641777,"Stable","stable_up"
"LPAR6",0.246958424049432,5.12731197464804,1.69785035568074,0.123906135515627,0.85561240240808,-4.36734090085137,"Stable","stable_up"
"IL23A",0.196726504661676,1.29578625748912,1.15173969398451,0.279226182773644,0.904617829186259,-4.59097078845829,"Stable","stable_up"
"WEE1",0.176706881328938,3.09023059918358,0.853338074468125,0.415696220304831,0.927460065560548,-4.96234892745859,"Stable","stable_up"
"SLC14A1",0.370428595048305,3.60181773699653,2.46607728803668,0.0359059104804961,0.825819064074335,-3.46916781975201,"Stable","stable_up"
"XCL1",0.379079628646052,1.09743537155532,1.55614717079752,0.154240177095174,0.864522805573267,-4.40550970428598,"Stable","stable_up"
"ZNF248",0.160918152767064,3.23851700792047,0.973385366749626,0.355900340834076,0.916756682611176,-4.89950682487383,"Stable","stable_up"
"RPL6P27",0.267568708767565,1.29097350681886,1.19118336662506,0.264172822380288,0.900715431504926,-4.57563943840637,"Stable","stable_up"
"TOMM5",0.16528076832789,3.00177856040972,0.935440177362624,0.374080937670509,0.92276901143994,-4.89130998618234,"Stable","stable_up"
"SLC4A7",0.204864705524488,4.90995545479461,1.39734651333574,0.195936919697628,0.871738600212783,-4.6862515586166,"Stable","stable_up"
"TSSK3",0.285058365205152,1.20962659366996,1.39166776157487,0.197593801495784,0.871738600212783,-4.48159921488967,"Stable","stable_up"
"ADAMTS6",0.360336573110671,0.0535513241682792,1.37998136930202,0.201041381230268,0.873134098715157,-4.52227999703876,"Stable","stable_up"
"ATP13A4",0.541116774786592,0.136461018925257,2.49885361943049,0.0340292766080837,0.825819064074335,-4.23174600845508,"Stable","stable_up"
"C2orf74",0.382235015699541,1.1379548834641,1.79852012191369,0.105779515944316,0.848221848432647,-4.29442236118131,"Stable","stable_up"
"ZNF181",0.427632488684051,2.8498365616512,2.70500822385972,0.0242837968847056,0.825819064074335,-3.32561834291235,"Stable","stable_up"
"ZNF683",0.422901841674177,3.32031272091596,2.04368912542247,0.0714707634478743,0.83340446415113,-3.93131058686626,"Stable","stable_up"
"NPM1P7",0.42348008509801,3.17779308903134,2.78865410080651,0.0211838752607806,0.825819064074335,-3.17766594081395,"Stable","stable_up"
